repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl
namgk/phonegap-android,Java,0.990476,1,0,0.259514,0,0,1,26574,0,0,0,0,1,0
Luciano-Ramos/Site,PHP,0.2,1,0,0.035666,0,0,0,8610,0,0,0,0,0,0
edwinparrales/JavaPersonal,Java,0.857143,1,0,0.129175,0,0,0,3547,0,0,0,0,0,0
JunjieCheng/ECE1574_Project_3,C++,1,1,0,0.157534,0,0,0,123,0,1,0,0,0,0
stl136/Round-3-Group-4-,Java,0,3,0,0.75,0,0,0,5,0,0,0,0,1,0
quakig/unusedcssremover,PHP,0.5,1,0,0.146747,0,0,0,1729,0,6,0,0,0,0
jlpeyton/Project4,Java,0.5,1,0,0.164508,0,0,0,680,0.02439,0,0,0,1,0
VladisBelov/SuperAds,Java,0.727273,4,0,0.035242,0,0,0,657,0,4,0,0,1,0
eowusu/Maze,Java,0,1,0,0.010417,0,0,0,98,0,0,0,0,0,0
humhub/humhub-modules-wiki,PHP,0.09589,1,0,0.105323,5.8,0.4,1,1812,0,4,0,1,1,1
AlecinVan/kafka-storm-metrics,Java,0,1,0,0.029586,0,0,0,3109,0,0,0,0,0,0
gagpie/demo_app,Ruby,0.147541,1,0,0.324298,0,0,0,902,0.334917,0,0,0,1,0
bbuschmann/comboboxshakedown,C#,0.6,1,0,0.177632,0,0,0,494,0,0,0,0,0,0
Dennovin/videoscripts,Python,1,1,0,0.019608,45,0,1,1105,0,0,0,0,1,1
duncanmmacleod/ligo.org,Python,0.833333,1,0,0.411498,0,0,1,404,0,0,0,0,1,0
fadihub/event-bus-system-qbit,Java,0.25,1,0,0.178674,0,0,1,313,0,0,0,0,1,1
tkleisas/monolithandroid,Java,0.958333,1,0,0.035837,1.45977,0.298851,0,6463,0,0,0,0,1,1
jclyons52/laravel-starter,PHP,0.155172,1,0,0.162198,0,0,0,13328,0.01437,0,0,0,1,0
Joshuaatt/accessory_app,Ruby,0.25,1,0,0.447106,0,0,0,600,0.031546,0,0,0,1,0
kanglieyong/AlgorithmsInCpp,C++,0.5,1,0,0,0,0,0,45,0,0,0,0,0,0
hammadj/C275-Project,Python,0.75,1,0,0.018692,0,0,0,210,0,0,0,0,0,0
victorMoneratto/ShipGame,C#,0.666667,1,0,0.185083,0,0,0,295,0,0,0,0,0,0
BunchaNumbers/RetailMeNotChallenge,Ruby,0.5,1,0,0.336957,0,0,0,64,0,0,0,0,0,0
biesnecker/cleveland,Python,0.571429,1,0,0.065657,0,0,1,238,0,32,0,0,1,0
marciorita/quironlojavirtual,C#,0.333333,1,0,0.109063,0,0,0,429,0.135417,0,0,0,1,0
ronsuez/chef-folder-struct,Ruby,0.142857,1,0,0.02381,0,0,1,45,0,0,0,0,1,0
Shiggiddie/coachella_tix,Python,0,0,0,0.138889,0,0,0,42,0,1,0,0,0,0
samedling/MCSAS,Python,1,1,0,0.118568,0,0,0,1183,0,0,0,0,0,0
zero-ui/zui,C,0.506944,1,0,0.186938,0,0,0,429931,0.011896,None,0,0,1,0
clrung/Wordgame,Java,1,1,0,0.029613,0,0,1,448,0,0,0,0,1,0
rockwellw/Ghost,Python,0.5,1,0,0.078261,0,0,0,221,0,0,0,0,0,0
chrisdieckhaus/tracking,Python,1,1,0,0.117672,0,0,0,6157,0,0,0,0,0,0
xyyc/ax_encript,C,0.333333,3,0,0.186667,0,0,1,63,0,0,0,0,1,0
eevans/lzma-performance,Java,1,1,0,0.010603,0,0,0,3546,0.11682,0,0,0,1,0
NZX/opsworks-cookbooks,Ruby,0.5,1,0,0.32,0,0,0,43,0,0,0,0,0,0
zaironne/SnippetDetector,Python,1,1,0,0.416667,0,0,1,477,0,6,0,0,1,0
wiedld/euler,Python,0.111111,1,0,0.292237,0,0,0,155,0,0,0,0,0,0
qianliwang/pa3,Java,1,2,0,0.046322,0,0,0,350,0,0,0,0,1,0
lucassant0s/crudzend,PHP,0.205882,1,0,0.061127,0,0,1,8357,0,0,0,0,1,0
Zaltsman/uploady,Ruby,0.139535,1,0,0.515021,0,0,0,646,0.084249,0,0,0,1,0
j6turner/rmblr,Ruby,0.177778,2,0,0.529511,0,0,0,621,0.129252,0,0,0,1,0
eeue56/spacepie,Python,1,1,0,0.153025,0,0,1,240,0,0,0,0,1,1
shawnhugginsjr/DjangoTDD,Python,0.166667,1,0,0.276596,0,0,0,103,0.421569,0,0,0,0,0
socialist/mlight-framework,PHP,0.583333,1,0,0.126183,0,0,1,280,0,0,0,0,1,1
shadow-defalt/Tech-Shell,C,0,1,0,0.022936,0,0,0,213,0,0,0,0,0,0
sphu0915/uploady,Ruby,0.139535,1,0,0.514605,0,0,0,646,0.084249,0,0,0,1,0
armanshah360/SAT-Vocab-Bot,Python,0,1,0,0.178082,0,0,1,60,0,None,0,0,1,0
RGilly/uploady,Ruby,0.139535,1,0,0.51671,0,0,0,647,0.084559,0,0,0,1,0
catkeck/uploady,Ruby,0.139535,1,0,0.514605,0,0,0,646,0.084249,0,0,0,1,0
leizmonk/uploady,Ruby,0.162791,1,0,0.516681,0,0,0,648,0.084249,0,0,0,1,0
erolyegin/uploady,Ruby,0.139535,1,0,0.514163,0,0,0,658,0.083942,0,0,0,1,0
gmoseson/uploady,Ruby,0.159091,1,0,0.515437,0,0,0,658,0.084249,0,0,0,1,0
CyberStrike/miami-transit-api,Ruby,0.15625,1,0,0.418639,0,0,0,435,0.068421,2,0,0,1,0
ytinirt/cache,C,0.853147,1,0,0.046504,11.307692,0,0,108834,0,0,0,0,1,0
iamtsquared/uploady,Ruby,0.139535,1,0,0.518771,0,0,0,645,0.084559,0,0,0,1,0
nataliafloresc/uploady,Ruby,0.139535,1,0,0.494643,0,0,0,647,0.083942,0,0,0,1,0
coyotetracks/PiutePonds,PHP,0.880597,1,0,0.107466,0,0,1,24601,0,0,0,0,1,0
philrosehill/uploady,Ruby,0.162791,1,0,0.514996,0,0,0,650,0.083942,0,0,0,1,0
bourquesue/uploady,Ruby,0.139535,1,0,0.496429,0,0,0,645,0.084559,0,0,0,1,0
bobbytables/uploady,Ruby,0.139535,1,0,0.51709,0,0,0,632,0.084559,0,0,0,1,0
matthiasthomas/TopCoder,C#,0.4,1,0,0.008955,0,0,0,332,0,0,0,0,0,0
licongcq/Androidwear_test,Java,0.5,1,0,0.067496,0,0,0,586,0,0,0,0,0,0
isaiahyoon/CodeU,Java,0.25,1,0,0.340426,0,0,0,155,0,0,0,0,0,0
HiraokaHyperTools/jikaki,C++,0.5,1,0,0.075972,0,0,1,537,0,0,0,0,1,0
Evervolv/android_device_moto_shamu,C++,0.779661,33,0,0.217547,79.181816,0,1,107541,0.065225,0,1,1,1,1
vienne/finalproject,Ruby,0.085106,1,0,0.214138,0,0,0,11827,0,0,0,0,0,0
todd/puppet-wkhtmltox,Ruby,0.333333,1,0,0.322314,0,0,1,125,0.171429,1,0,0,1,0
rangua/energy-monitor,C++,0,1,0,0.166667,0,0,1,55,0,0,0,0,1,0
araqnid/jersey2-guice-simple,Java,0.714286,1,0,0.003817,0,0,0,561,0.158203,0,0,0,1,0
tatosjb/TrabalhoM1Elieser3,Java,0.8,1,0,0.14047,0,0,0,1646,0,0,0,0,0,0
nurkiewicz/wjug-money,Java,0.95,1,0,0.084625,0,0,0,1417,0.267496,3,0,0,1,0
guineawheek/abc2as3,Python,0.545455,1,0,0,0,0,1,287,0.181132,0,0,0,1,0
dmoon79/_abco,PHP,0.428571,1,0,0.257763,0,0,1,2359,0,1,0,0,1,0
ESSS/xml_factory,Python,0.8,2,1,0.0625,0,0,1,451,0.449468,0,1,0,1,1
nessalauren5/Project4_6310,Java,0.5,1,0,0,0,0,0,150,0.702128,1,0,0,0,0
mickaelpham/number_guessing,Ruby,0.25,1,1,0.052632,0,0,0,131,0.49505,0,0,0,0,0
TachoMex/divec_fest_2015_fractales,C++,0.875,1,0,0.026069,0,0,0,934,0,0,0,0,0,0
benniemietz/bens_taxjar,Ruby,0.151515,1,0,0.405978,0,0,0,477,0.13615,0,0,0,1,0
ibridgham/SailingAdventures,Java,1,1,0,0.155963,0,0,0,185,0,0,0,0,0,0
jacobrichard/graphite-post-api,Python,0.666667,1,0,0.37931,0,0,1,41,0,0,0,0,1,0
obontika/Sailing_Adventures,Java,1,1,0,0.155963,0,0,0,184,0,0,0,0,0,0
KenCzech/SailingAdventure,Java,1,1,0,0.14652,0,0,0,234,0,0,0,0,0,0
ben-pritchard/twitter-with-ajax,Ruby,0.261538,2,0,0.079939,0,0,0,7478,0.173028,0,0,0,1,0
bliberty23/first-app,Ruby,0.08,1,0,0.463717,0,0,0,315,0.06,0,0,0,1,0
danpeirce/tektronix-oscilloscope,Python,0,1,0,0.426829,0,0,1,81,0,0,0,0,1,0
nasgul/uwc7php,PHP,0.111111,1,0,0.052632,0,0,1,23442,0,0,0,0,1,0
justinonstine/DoEeet,Java,0.785714,1,0,0.088726,0,0,0,1414,0,0,0,0,0,0
jmwind/toy_app,Ruby,0.22449,1,0,0.346917,0,0,0,767,0.258621,0,0,0,1,0
chaosphere2112/PyGL,Python,1,1,0,0,0,0,1,60,0,0,0,0,0,0
lmeraz/MAE9,C,1,1,0,0.435897,0,0,0,684,0,0,0,0,0,0
eval-apply/xen-mini-os,C,0.530928,10,0,0.293282,3.576642,0,1,23738,0.059106,0,1,1,1,1
cleidisonj/iBar2,Java,0.6,2,0,0.614499,0,0,0,1473,0,0,0,0,1,0
shadow-defalt/Systems_Programing,C,1,1,0,0.07154,0,0,0,597,0,0,0,0,0,0
aachik/programming_exercise,Python,1,1,0,0,0,0,0,92,0,0,0,0,0,0
mikaelKvalvaer/test,C,0.823529,1,0,0.375696,0,0,0,1346,0,0,0,0,0,0
Congitron/PocketAces,Python,0.842105,1,0,0.119744,0,0,0,2890,0,0,0,0,0,0
Cheam/cgminer_visualc,C,0.677778,1,0,0.156878,0,0,1,48452,0.378972,0,0,0,1,1
Raydond123/SuperheroPvP,Java,1,1,0,0.22426,0,0,0,4696,0,0,0,0,0,0
mfos239/yelfie,Ruby,0.310345,1,0,0.270686,0,0,0,1987,0.087794,0,0,0,1,0
katcarr/rmblr,Ruby,0.177778,2,0,0.529511,0,0,0,621,0.129252,0,0,0,1,0
tow1e/retrosheet,Ruby,0.25,1,0,0.070423,0,0,1,66,0.090909,0,0,0,1,0
hij1nx/nodeuv-path,C++,1,1,0,0.075,0,0,0,480,0.403361,8,0,0,1,0
mbonaci/gwt-payload-deserializer,Java,1,1,0,0.347736,0,0,1,1637,0,0,0,0,1,0
Pingul/jwgl,C++,0.875,1,0,0.078747,0,0,0,2060,0,0,0,0,0,0
Dormir/reizouko,Java,0.333333,1,0,0.129801,0,0,0,657,1,0,0,0,1,0
xianc/Sudoku-Solver,Java,1,1,0,0.084507,0,0,0,260,0,0,0,0,0,0
vigusmao/AlgGraf_2015_1,Python,0,1,0,0.088235,0,0,0,31,0,1,0,0,0,0
EddyCerpa/Game-Wall-e,Java,0.864865,1,0,0.334122,0,0,0,4223,0.384561,0,0,0,1,0
leopic/cmpServidorPython,Python,0,2,0,0,0,0,0,29,0,0,0,0,0,0
Auronmatrix/MongoBlog101,C#,0.333333,1,0,0.207326,0,0,1,37076,0,0,0,0,1,0
amymichellejohnson/twittre_rails_with_ajax,Ruby,0.224138,2,0,0.506827,0,0,0,840,0.285714,0,0,0,1,0
shadow-defalt/Data_Structures,C++,0.809524,1,0,0.112051,0,0,0,2940,0,0,0,0,0,0
gfx/AndroidStudioBug-AwtInGradle,Java,0.25,1,0,0.112462,0,0,0,330,0,0,0,0,0,0
leoplucs/IMC,Java,0.75,1,0,0.11936,0,0,0,1542,0,0,0,0,0,0
dougwig/neutron-lib-initial,Python,0.333333,1,0,0.730496,0,0,1,285,0.157895,0,0,0,1,0
MikeHarris-jmh2/Twitter_Clone2,Ruby,0.186441,1,0,0.508306,0,0,0,819,0.12766,0,0,0,1,0
adamthehill/adams_final_project,Ruby,0.184211,1,0,0.426744,0,0,0,588,0.023904,0,0,0,1,0
