repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl
pep-githubber/pep-chat-KCarter,Python,1,3,0,0.045455,0,0,0,190,0,0,0,0,1,0
Cesarfr/ExempleGettext,PHP,0,1,0,0,0,0,0,31,0,0,0,0,0,0
adelkhafizova/cdk,Java,0.5,1,0,0.144231,0,0,0,2181,0,0,0,0,0,0
GiorgioCalzolato/gogodrink,Ruby,0.43617,1,0,0.51524,0,0,0,1407,0.007979,0,0,0,1,0
Kocl9262/Casino,Python,0.5,1,0,0,0,0,0,508,0,0,0,0,0,0
pep-githubber/pep-chat-DThompson,Python,1,2,0,0.045455,0,0,0,190,0,0,0,0,1,0
KikyoYahl/Cycle,Java,0.3125,1,0,0.040388,9,0,0,682,0,0,0,0,1,0
matt24smith/Battleship,Java,0.5,2,0,0.042781,0,0,0,539,0,0,0,0,1,0
nsantek/Vjezba_30_03,C#,0.4,1,0,0.21519,0,0,0,490,0,0,0,0,0,0
pep-githubber/pep-chat-ASmith,Python,1,1,0,0.045455,0,0,0,189,0,0,0,0,0,0
luukdv/scrobble,PHP,0.25,1,0,0.003759,0,0,0,1059,0,None,0,0,0,0
MRifat/saber,Ruby,0.123077,1,0,0.468386,0,0,0,1054,0.040773,0,0,0,1,0
KikyoYahl/CharacterArray,Java,0.214286,1,0,0.043403,8,0,0,639,0,0,0,0,1,0
libraryresearchservice/LaravelCrosstab,PHP,0,1,0,0.231481,0,0,1,574,0,1,0,0,1,1
keeganbuttimer/CountdownGame,Java,0.25,1,0,0.080087,0,0,0,461,0,0,0,0,0,0
Bogardo/SublimeHostsEdit,Python,0,1,0,0,0,0,1,25,0,0,0,0,0,0
antoniosb/enumerable_methods,Ruby,1,2,0,0,0,0,0,264,0.477099,0,0,0,1,0
pep-githubber/pep-chat-PGhimire,Python,1,2,0,0.045455,0,0,0,190,0,0,0,0,1,0
snegovick/stm32f3_disco_min,C,0.412088,0,0,0.161778,0,0,1,324896,0,2,0,0,1,0
gilliardramos/igreja-batista-auriflama,Java,0.676471,1,0,0.037899,0,0,0,2864,0.080551,0,0,0,1,0
nica0012/mid-app,Java,0.970874,1,0,0.270077,0,0,1,33009,0,0,0,0,1,0
mcavdar/pcl,C++,1,1,0,0.144717,0,0,0,1117,0,0,0,0,0,0
Chizh1/Bookarray,Java,1,1,0,0,0,0,0,193,0,0,0,0,0,0
schmengler/Comparator-Tools,PHP,1,1,1,0.523659,0.490196,0.019608,1,935,0.466855,9,0,0,1,1
anderojas1/observador,Java,0.8,2,0,0.134394,0,0,0,1578,0,0,0,0,1,0
ParthoShuvo/Android-Database,Java,0.769231,1,0,0.04212,0,0,0,1446,0,0,0,0,0,0
mallorybucell/ClassroomPhonetics,Ruby,0.055556,1,0,0.558608,0,0,0,494,0.067873,0,0,0,1,0
antoniosb/bubble_sort,Ruby,1,2,0,0,0,0,0,58,0.607143,0,0,0,1,0
agh-glk/spelldiffer,Python,1,1,0,0.156627,0,0,0,73,0.242857,0,0,0,0,0
ultra-sonic/opencloudrender,Python,0.916667,1,0,0.202723,91,0,0,791,0.069444,5,0,0,1,0
twitter/netty-http2,Java,1,2,1,0.22231,0.368421,0,1,5886,0.341296,41,1,0,1,1
asutoshpalai/http-server,Java,1,1,0,0.037879,0,0,0,130,0,4,0,0,0,0
ahmedsaieed/X11COIN,C++,0.962963,1,0,0.11651,0,0,1,71797,0.070912,0,0,0,1,1
JavierNeri/PythonExcel,Python,0.5,1,0,0.5,0,0,0,21,0,0,0,0,0,0
diegopiccinini/-shuffle-a-deck-of-cards,Ruby,0.125,2,0,0.401442,0,0,1,522,0.031579,0,1,0,1,0
tclh123/AutoSGS,Python,0.545455,1,0,0.407143,0,0,0,187,0,0,0,0,0,0
square/moshi,Java,0.958333,2,1,0.181655,7.428571,0.857143,1,6890,0.568921,1560,1,1,1,1
ndovu/quiz1_supporter_v2,Ruby,0.170732,1,0,0.400261,0,0,0,649,0.065306,0,0,0,1,0
CCAFS/ccafs-ap,Java,0.988543,0,0,0.198129,0,0,1,113455,0,2,0,0,1,0
SvenDub/Dashboard,Java,0.894737,1,0,0.312306,0,0,1,4867,0,1,0,0,1,0
sergiocabreu/theme,Java,0.5,1,0,0.268657,0,0,0,49,0.714286,0,0,0,0,0
nick-kaufman/Biological-Responses-Kaggle,Python,1,1,0,0.296296,0,0,0,38,0,0,0,0,0,0
AbsDeveloper/DiabloKit,Java,0.96,1,0,0.421668,11,0,0,2226,0.190975,0,0,0,1,0
ILDAR9/DM,Java,1,1,0,0.041703,0,0,0,1114,0,0,0,0,0,0
jeff1evesque/interview-usnews,Python,0.428571,1,0,0.195519,0,0,0,6331,0,0,0,0,0,0
scott-howard-james/relate,Python,0.666667,1,0,0.030702,0,0,0,221,0.891403,1,0,0,1,0
shekhargulati/flask-admin-extension-openshift-quickstart,Python,0.333333,1,0,0.085526,0,0,0,153,0,0,0,0,0,0
maksudc/WFDB,C,0.963768,1,0,0.191993,0,0,1,66899,0,0,0,0,1,0
vdzundza/HashMapCourse,Java,1,1,0,0.017544,0,0,0,168,0.326667,0,0,0,1,0
jkalef/quiz1,Ruby,0.282051,1,0,0.421671,0,0,0,599,0.053571,0,0,0,1,0
taylory5/MP3,Java,0,2,0,0.071429,0,0,1,184,0,0,0,0,1,0
klen/muffin-session,Python,1,1,1,0.108303,0,0,1,248,0,2,0,0,1,1
amasciul/UDPDiscoverer,Java,0.571429,1,0,0.072351,0,0,1,429,0,0,0,0,1,1
cruzpresso/support_app,Ruby,0.2,2,0,0.432665,0,0,0,466,0,0,0,0,1,0
marcosfeijoo/inkscape-uke-chord-dictionary,Python,0,1,0,0.109589,0,0,0,132,0,0,0,0,0,0
jordanywhite/GraphicsProject,C++,0.904762,1,0,0.19802,0,0,0,2268,0.190035,0,0,0,1,0
yxsu/jpetuum,Java,0.94382,0,0,0.163433,0,0,0,5856,0.114689,4,0,0,1,0
thergbway/MazeGame,Java,0.909091,1,0,0.012092,0,0,0,817,0,0,0,0,0,0
bgrayd/0xDEADBEEF,Python,1,1,0,0.232558,0,0,0,198,0,0,0,0,0,0
mormreed/ssh_mon,C,0,1,0,0.211538,0,0,0,41,0,0,0,0,0,0
mammuth/Time-Reminder-Wear-App,Java,0.625,1,0,0.154185,0,0,1,836,0,0,0,0,1,0
Ehb-IPG13/EHB-FastJobs,Java,0.857143,1,0,0.120918,0,0,0,1032,0,0,0,0,0,0
jslicer/FNV-1a,C#,0.823529,1,0,0.341191,0,0,0,1059,0.289538,2,0,0,1,0
andrewjpiro/CPE-102-Labs,Java,0,1,0,0,0,0,0,14,0,0,0,0,0,0
AlaaAttya/new-project,PHP,0,1,0,0,0,0,0,4,0,0,0,0,0,0
rootsdaja/DianasGitHUB,C#,0.898305,1,0,0.044788,0,0,1,122218,0,0,0,0,1,0
joanpaon/joanpaon-0485-t8,Java,0.769231,2,0,0.124643,0,0,0,16331,0,0,0,0,1,0
lukasheinrich/recast-backend,Python,0.333333,1,0,0.035088,0,0,0,165,0,0,0,0,0,0
vdolbilov/pos-customer,Ruby,0.371134,1,0,0.389163,0,0,0,1452,0.161939,0,0,0,1,0
fiddenmar/study,Java,0.846154,1,0,0.021477,0,0,0,729,0,0,0,0,0,0
CemAksoy/XMLVIsualizer,Java,1,1,0,0.475771,0,0,0,121,0,0,0,0,0,0
Jamestown/ebay_manager,Ruby,0.311111,1,0,0.085578,0,0,0,6884,0.254642,4,0,0,1,0
saulpinedo/psdtohtml,Ruby,0.066667,1,0,0.272886,0,0,0,846,0.068702,0,0,0,1,0
readybytes/custom-component,PHP,0.25,1,0,0.152344,0,0,0,217,0,0,0,0,0,0
olampropoulos/image-gallery,Java,0.785714,1,0,0.075571,0,0,0,576,0,0,0,0,0,0
Kintama/Kabelmanagement,Java,0,1,0,0.087087,0,0,0,304,0,0,0,0,0,0
ChrisMacNaughton/sapphire,Ruby,0,2,0,0,26.033333,0,1,1,0,0,0,0,1,0
KikyoYahl/Room,Java,0.230769,1,0,0.029197,7,0,0,620,0,0,0,0,1,0
guillermovera92/ShadyBunnies,C++,1,1,0,0.178571,0,0,1,230,0,0,0,0,1,1
leetea/noisealert,Java,0.666667,1,0,0.106494,0,0,0,344,0,0,0,0,0,0
spring-cloud/spring-cloud-lattice,Java,1,1,1,0.085048,0,0,1,688,0,10,0,0,1,1
rombat/CalculetteJavaV3,Java,1,1,0,0.13465,0,0,0,485,0,0,0,0,0,0
damiaan-ucll/Multimedia-class-5,C++,1,1,0,0.149813,0,0,0,227,0,0,0,0,0,0
kampfschlaefer/jenkins_api_simulator,Python,0.25,1,0,0.132075,0,0,1,94,0.26087,0,0,0,1,0
Lirriella/example-php,PHP,0.923077,1,0,0.103488,0,0,0,774,0,0,0,0,0,0
viniciusccarvalho/nats-pub,Java,1,1,0,0,0,0,0,144,0,0,0,0,0,0
pankajsays/jtimekeeper,Java,1,1,0,0.467192,0,0,0,226,0.066667,0,0,0,1,0
seominjoon/geosolver2,Python,0.77551,0,0,0.142857,0,0,0,4053,0,41,0,0,0,0
danielsnipher/saldobilhete,Java,0.5,1,0,0.071111,0,0,0,838,0,1,0,0,0,0
danielsnipher/j2memaprouteprovider,Java,1,1,0,0.008798,0,0,0,678,0,1,0,0,0,0
patelchi/Single-pulse,Python,1,1,0,0.196478,0,0,0,871,0,1,0,0,0,0
avaughan89/ticketee,Ruby,0.288889,1,0,0.396864,0,0,1,562,0.105263,0,0,0,1,0
arni1981/betraskor,Ruby,0.75,1,0,0.084358,0,0,1,14976,0.100785,0,0,0,1,1
SarahAlSultan/MaidBrigade,Java,0.857143,1,0,0.02439,0,0,0,4236,0,0,0,0,0,0
gracevente/SoccerGame,Java,0.333333,1,0,0.09252,0,0,0,497,0,0,0,0,0,0
jordanywhite/OthelloAndroid,Java,0.957447,1,0,0.434531,0,0,0,3524,0,0,0,0,0,0
cojalvo/AroundMe-AndroidStudio,Java,0.941176,1,0,0.374415,0,0,1,16613,0,0,0,0,1,0
jhonnybsg/CleanRameGameSample,Java,0.772727,1,0,0.102533,0,0,0,1488,0,0,0,0,0,0
mziccard/secureit,Java,0.948718,2,0,0.200831,2.296296,0,1,3925,0,2,1,0,1,1
fdmatos/IAED,C,1,1,0,0,0,0,0,424,0,0,0,0,0,0
azrielh/support_quiz,Ruby,0.133333,1,0,0.445388,0,0,0,580,0.049793,0,0,0,1,0
anjoola/maze,C#,0.9375,1,0,0.339888,0,0,1,7755,0,0,0,0,1,0
seominjoon/GeoServer,Python,0.564516,0,0,0.056452,0,0,0,1756,0.000806,1,0,0,1,0
logankruse11/AugieArcher,Java,0.4,1,0,0.081882,0,0,0,563,0,0,0,0,0,0
kschlorff16/PictureAlgorithm,Java,1,1,0,0.389628,0,0,0,918,0,0,0,0,0,0
crispybacon/ApolloRepo,Python,0.090909,1,0,0.160226,0,0,1,72911,0,0,0,0,1,0
DiogoPires22/Crud-MongoDB-CSharp,C#,0.454545,1,0,0.168538,0,0,0,31836,0,0,0,0,0,0
SlipperyJ/Koans,Ruby,0.923077,1,0,0.130937,0,0,0,2635,0.008349,0,0,0,1,0
AnilSener/python-NLTK-exercise---sentiwordnet-scoring,Python,0,1,0,0.136364,0,0,0,38,0,0,0,0,0,0
REBELinBLUE/deployer,PHP,0.446602,1,0,0.151049,0,0,1,9446,0.004926,130,0,0,1,0
sergey-runov/WordNet,Java,0.666667,1,0,0.097872,0,0,0,212,0,0,0,0,0,0
annguyen88/FirstGame,Python,1,1,0,0.080645,0,0,0,114,0,0,0,0,0,0
lukasheinrich/recast-helloworld-demo,Python,0.25,1,0,0,0,0,0,70,0,0,0,0,0,0
SeanMachen845/HW2,Ruby,0.212766,1,0,0.382326,0,0,0,812,0.033435,0,0,0,1,0
khartnack/cs496,Python,0,1,0,0.230769,0,0,0,11,0,0,0,0,0,0
msmukherji/second-helping,Ruby,0.230769,1,0,0.429078,0,0,0,880,0.052219,6,0,0,1,0
adriansoghoian/breathe-messenger,Java,0.571429,1,0,0.112935,0,0,1,2752,0,0,0,0,1,0
odija/welcometo,Java,0.866667,1,0,0.047917,0,0,0,1398,0,1,0,0,0,0
kbulloch/Epifoodus,PHP,0.785714,3,0,0.132285,0,0,0,4128,0.606549,0,0,0,1,0
wtholt/challenge,Ruby,0,1,0,0,0,0,0,109,0,0,0,0,0,0
deceptikon1/Typovoe_dz1,C++,0.4,1,0,0,0,0,0,223,0,0,0,0,0,0
formed/formed.github.com,Ruby,1,14,0,0.131868,5.394737,0,1,1923,0,0,1,0,1,1
lizadams/verdi_reader_bcon,Java,0.75,1,0,0.275862,0,0,0,636,0,0,0,0,0,0
scurrier/nerdzee,C#,0.5,1,0,0.002145,0,0,1,11165,0,0,0,0,1,0
penguincoder/dfamin,Java,1,2,0,0.160173,0.272727,0,0,194,0,1,0,0,1,0
neil-hickey/TimeLinez,Python,1,1,0,0.09153,0,0,0,666,0.280453,0,0,0,1,0
joanpaon/joanpaon-0485-t9,Java,0.983146,2,0,0.121924,0,0,0,68724,0,0,0,0,1,0
ttriggs/never-again,Ruby,0.333333,3,1,0.627798,0,0,0,1358,0.048951,0,0,0,1,0
djeik/hacksignal,Python,0.625,1,0,0.040179,0,0,0,971,0,9,0,0,0,0
hodgesbe/EmployeeInheritance,C++,1,1,0,0.126437,0,0,0,152,0,0,0,0,0,0
cemyaras/OCR_SureBet,C#,0.625,1,0,0.233577,0,0,0,414,0,0,0,0,0,0
maaz92/Lightoj-Backup,Python,0,1,0,0.12605,0,0,1,105,0,0,0,0,1,0
danielsnipher/blind-fiap-2011,Java,0.518519,1,0,0.13501,0,0,0,6162,0,1,0,0,0,0
KikyoYahl/Library,Java,0.375,1,0,0.055363,5,0,0,361,0,0,0,0,1,0
mulfordjc/MP3Repository,Python,0,1,0,0.277778,0,0,0,42,0,0,0,0,0,0
cipherodyssey/miniapp,Ruby,0,1,0,0.1,0,0,0,117,0,0,0,0,0,0
SethGibson/Cinder-RSSDK,C++,0.625,1,0,0.0275,0,0,0,778,0,0,0,0,0,0
tlt31/Lab4,Java,0.333333,2,0,0.042453,0,0,0,406,0,0,0,0,1,0
risdenk/hbase-custom-replication-endpoint-example,Java,1,0,0,0.176322,0,0,0,390,0.511029,1,0,0,1,0
gcasa/Mesa,C,0.806723,1,0,0.157256,0,0,0,18522,0,0,0,0,0,0
runquest/first_rails_app,Ruby,0.40625,1,0,0.419968,0,0,0,429,0.054645,0,0,0,1,0
DShamaev/MyLastFMClient,Java,0.769231,1,0,0.139351,0,0,0,1064,0,0,0,0,0,0
cipherodyssey/simpleauth2,Ruby,0.875,1,0,0.06682,0,0,0,453,0.730769,0,0,0,1,0
Plytirex/FreeRTOS,C,0.684211,1,0,0.597013,0,0,1,5693,0,0,0,0,1,0
Sudakatux/gameoffour,Java,0.857143,1,0,0.032967,0,0,0,440,0.125413,0,0,0,1,0
xwrjocl/Sunshine2,Java,0.571429,1,0,0.134361,0,0,0,822,0,0,0,0,0,0
architects/toolkit-gem,Ruby,0.631579,1,0,0.032454,0,0,1,521,0.019868,0,0,0,1,0
GoogleCloudPlatform/appengine-memcache-guestbook-python,Python,0,2,0,0.465753,0,0,1,145,0,0,0,0,1,0
Sk8rSeth/m3-CSS-PuppyLove,PHP,0.5,1,0,0.040201,0,0,0,573,0,0,0,0,0,0
andrewpeck/comptest-sw,C++,0.785714,1,0,0.029762,0,0,0,652,0,0,0,0,0,0
poochi/TwitterNews,Python,0,1,0,0.098592,0,0,0,100,0,0,0,0,0,0
Fastspot/bigtree-social-feed,PHP,0.263158,1,0,0.127417,0,0,1,1014,0,0,0,0,1,0
unaveed/asteroids,Java,1,1,0,0.323413,0,0,0,1364,0,0,0,0,0,0
edizduman/BasicPDO,PHP,1,2,0,0.141026,0,0,0,402,0,0,0,0,1,0
romiphadte/AI-pacman,Python,0.95,1,0,0.2476,0,0,0,4549,0,0,0,0,0,0
minmemory/memreduct,C++,0.857143,2,0,0.116519,3.909091,0,1,2572,0,0,1,0,1,1
ikhlef/tortue_MVC_java,Java,0.875,1,0,0.03512,0,0,0,524,0,0,0,0,0,0
axypro/fs-paths,PHP,0.923077,1,0,0.329362,0,0,1,2203,0.706192,1,0,0,1,1
Toyto/Sitemap-generator,Python,0.409091,1,0,0.12761,0,0,0,382,0.002817,1,0,0,1,0
MrClockOrange/Poker,Java,0.857143,1,0,0.077263,0,0,0,1254,0.216906,0,0,0,1,0
edo-aplikacija/IteratorPattern,C#,1,1,0,0,0,0,0,177,0,0,0,0,0,0
stodda61/CSE331proj04,C++,0,2,0,0.134503,0,0,0,148,0,0,0,0,1,0
oldwind/framework,PHP,0.720812,1,0,0.273965,0,0,0,19298,0,0,0,0,0,0
techjunkie007/DC-Project-AKGEC,PHP,0.338028,1,0,0.159081,0,0,0,13641,0.009155,0,0,0,1,0
smcabrera/blocipedia,Ruby,0.074074,1,0,0.534783,0,0,0,333,0.084746,0,0,0,1,0
csdms-contrib/non_local_means_filtering,C++,0.903226,1,0,0.206913,0,0,1,4910,0.241548,0,0,0,1,0
abdulmerhi11/StickyFallingBalls,Java,0.444444,1,0,0.159946,0,0,1,658,0.034483,0,0,0,1,0
NHellFire/kmotion,Python,0.948718,1,0,0.397397,0,0,1,4621,0,0,0,0,1,0
wesleybliss/Hash-Captcha,PHP,0,1,0,0.014925,0,0,0,66,0,0,0,0,0,0
davidhalter-archive/Book-classification-algorithms,Python,0.714286,2,0,0.136691,12,0,0,362,0,1,0,0,1,0
rdp/npapi-vlc,C++,0.981132,4,0,0.162898,3.703704,0,1,19363,0.164535,2,1,0,1,1
usabilitydynamics/wp-rpc,PHP,0.5,0,0,0.289548,0,0,1,538,0,1,0,0,1,0
ddgrifter/diffri,C++,0.888889,1,0,0.063084,12.75,0,0,401,0,0,0,0,1,0
rmayr/privatenotes-tomdroid,Java,0.989583,2,0,0.327093,1.2,0,1,9346,0.050639,0,1,0,1,1
cookbooks/hw-repmgr,Ruby,0.111111,1,0,0.033333,0,0,0,211,0,0,0,0,0,0
charithe/hbase-junit,Java,0.8,2,0,0.163399,0,0,1,410,0.445596,0,1,0,1,0
project79/mbSitemap,PHP,1,0,0,0.404878,0,0,0,161,0,0,0,0,0,0
divisiondeariza/Theremin-Ultrasonic,C,0.5,1,0,0.370262,0,0,0,216,0,0,0,0,0,0
mcdir/xmlproc,Python,0.88,1,0,0.107148,0,0,0,5787,0,1,0,0,0,0
aliciaguerra/CSharpAProgrammersIntroduction,C#,0.076923,1,0,0.123457,0,0,0,214,0,0,0,0,0,0
skyhuang1208/kmc_ABVI,C++,0.888889,1,0,0.079306,0,0,0,743,0,0,0,0,0,0
rmayr/privatenotes-tomboyaddin,C#,0.973978,84,0,0.129115,35.934784,0,1,62713,0.032987,0,1,1,1,1
jjee011/sample_app,Ruby,0.076923,1,0,0.459235,0,0,0,352,0.04918,0,0,0,1,0
kernelci/lava-ci,Python,0.833333,1,0,0.032842,10.25,0,0,2321,0,3,0,0,1,0
redintellect/SimpleTodoList,Java,0.25,1,0,0.08945,0,0,0,433,0,0,0,0,0,0
raphael-group/magi-stat-server,Python,1,2,0,0.165541,0,0,0,257,0.129555,0,0,0,1,0
mchurakou/Algorithm,Java,0,1,0,0,0,0,0,37,0,0,0,0,0,0
foeken/BagelBox,Ruby,0.862989,0,0,0.089158,0,0,1,36107,0.642311,5,0,0,1,1
csdms-contrib/hilltop_and_hillslope_morphology_extraction,Python,1,1,0,0.331915,0,0,1,1570,0,0,0,0,1,0
efpato/vazhno,Python,0.65,1,0,0.071334,0,0,0,2238,0.749164,0,0,0,1,0
oryxr/dxf2gcode,Python,0.54717,1,0,0.305049,0,0,1,15618,0,1,0,0,1,0
annayliu/Elevator,Java,1,1,0,0.113448,0,0,0,1391,0,0,0,0,0,0
ZMoD-R/android_packages_apps_ContactsCommon,Java,0.994413,8,0,0.191557,41.068966,0,1,45763,0.037047,0,1,1,1,1
minman/wicketforge,Java,1,1,0,0.218828,0,0,1,5644,0,9,0,0,1,0
seredasv/CrashCamera,Java,0.764706,1,0,0.017442,0,0,0,2082,0,0,0,0,0,0
adampash/textract,Ruby,0.5,1,0,0.022388,0,0,1,150,0.29771,0,0,0,1,0
ZMoD-R/android_packages_apps_InCallUI,Java,0.981481,9,0,0.22857,67.315788,0,1,22427,0,1,1,0,1,1
numerodix/delpy,Python,0.905405,1,0,0.103383,0,0,0,17035,0,0,0,0,0,0
ndovu/quiz1_supporter,Ruby,0.188679,1,0,0.374398,0,0,0,808,0.262873,0,0,0,1,0
franciscocharro/ServidorWeb,Python,0.25,1,0,0.116279,0,0,0,115,0,0,0,0,0,0
farleyluiz/dinner,Ruby,0.065217,1,0,0.512821,0,0,0,655,0.083333,0,0,0,1,0
radavis/launch_votes,Ruby,0.277778,2,0,0.500433,0,0,0,770,0.041401,2,0,0,1,0
JMolinaro/usabilla_api_example,Ruby,0.205882,1,0,0.388979,0,0,0,463,0.097701,1,0,0,1,0
docbacardi/dreamass,C,0.74359,0,0,0.151252,0,0,1,13490,0.00354,3,0,0,1,0
lab11/polypoint,C,0.5,1,0,0.271676,0,0,0,504,0,7,0,0,0,0
dkroondijk/Quiz1,Ruby,0.205128,1,0,0.446406,0,0,0,535,0.056338,0,0,0,1,0
bigbag/troika,Python,0.580645,1,0,0.016573,0,0,0,9495,0,0,0,0,0,0
nguyenlongtn159/project,Java,0.9375,1,0,0.03088,0,0,1,10388,0.075949,0,0,0,1,1
joanpaon/joanpaon-0485-t3,Java,0.666667,2,0,0.128027,0,0,1,48040,0,0,0,0,1,0
Rodisi/Ex13Agenda,Java,0.4,1,0,0.685103,0,0,0,2209,0,0,0,0,0,0
octomike/FuzzyWatch,C,0,2,0,0.090226,0,0,1,135,0,2,0,0,1,0
callowaylc/bloglovin-test,Ruby,0.5,1,0,0.5,0,0,0,4,0,0,0,0,0,0
wastevensv/team61,Java,0.954545,0,0,0.158666,0,0,0,12807,0,1,0,0,0,0
maschad/COMP310MEMALLOC,C,0.5,1,0,0.26087,0,0,0,34,0,0,0,0,0,0
jlnunn2372/Another-Test,Java,0.583333,1,0,0.20178,0,0,0,538,0.386161,0,0,0,1,0
valiantljk/sdd-semijoin,C,0,1,0,0.195652,0,0,0,223,0,0,0,0,0,0
edo-aplikacija/Prodaja-i-skladiste-sistem---Mobiteli,C#,1,1,0,0.077078,0,0,0,14631,0,0,0,0,0,0
include/yasi,Ruby,0.5,1,0,0.040093,0,0,1,4820,0,0,0,0,1,0
ablecanyon/AbleCanyon_SecureRewrites,PHP,0,1,0,0.072289,0,0,0,80,0,0,0,0,0,0
iorena/SyntaxMachine,Python,0.9,1,0,0.013333,0,0,0,668,0,0,0,0,0,0
Rodisi/Ex15Sensores,Java,0.6,1,0,0.690086,0,0,0,2157,0,0,0,0,0,0
epwn/LeaveNoTrace,Java,0.571429,3,0,0.052726,0,0,0,1096,0,0,0,0,1,0
joaojusto/Weather,Java,0.7,1,0,0.044866,0,0,0,1167,0,0,0,0,0,0
EKordik/GenericsAndMaps,Java,0.941176,1,0,0.213787,0,0,0,1802,0,0,0,0,0,0
GoogleCloudPlatform/appengine-multitenancy-python,Python,0,1,0,0.487179,0,0,1,107,0,0,0,0,1,0
james1022/Joon-Hyuck-Choi-Wordsearch-Solver,C,1,1,0,0.211752,0,0,0,711,0.59596,0,0,0,1,0
james1022/Joon-Hyuck-Choi-Wordsearch,C,1,1,0,0.230887,0,0,0,503,0.578512,0,0,0,1,0
Advertine/node-ip-native,C,0.714286,1,1,0.274918,0,0,0,693,0,0,0,0,0,0
jlrussell/downloader,Java,1,1,0,0.04961,0,0,0,2682,0.354839,0,0,0,1,0
jasandine/rails-twitter,Ruby,0.325,1,0,0.390671,0,0,0,1567,0.201754,0,0,0,1,0
james1022/Joon-Hyuck-Choi-Stack-and-PostfixEvaluator,Java,1,1,0,0.436508,0,0,0,142,0,0,0,0,0,0
nickschuch/drupalci-results-api,PHP,0,1,0,0.223796,0,0,0,296,0,0,0,0,0,0
rmulhol/RSVP,Ruby,0.304348,1,0,0.198419,0,0,0,1209,0.452693,0,0,0,1,0
Sophilyplum/sophiabeads-datasets,C,0.8,1,0,0.302163,0,0,1,1129,0,1,0,0,1,0
james1022/Joon-Hyuck-Choi-AvlTree,Java,1,1,0,0.437098,0,0,0,613,0,0,0,0,0,0
gavdraper/ASPNET5MovieBooker,C#,0.5,1,0,0,0,0,0,8506,0.095238,0,0,0,0,0
RockFramework/Rock.Messaging,C#,0.82,1,0,0.25524,5.363636,0,1,2785,0.22947,1,1,0,1,1
james1022/Joon-Hyuck-Choi-MazeSolver,Java,0,1,0,0.330645,0,0,0,83,0,0,0,0,0,0
james1022/Joon-Hyuck-Choi-ExpressionTree,Java,1,1,0,0.5181,0,0,0,213,0,0,0,0,0,0
james1022/Joon-Hyuck-Choi-Maze,Java,1,1,0,0.333333,0,0,0,168,0,0,0,0,0,0
charto/nbind,C++,0.714286,1,0,0.177893,0,0,1,504,0,5,0,0,1,0
Xesau/XBB,PHP,0.916667,1,0,0.034384,0,0,0,339,0,0,0,0,0,0
edo-aplikacija/Polymorhism,C#,0,1,0,0.126761,0,0,0,62,0,0,0,0,0,0
emilyleazer11/WordBoggle,Java,0.2,2,0,0.082031,0,0,0,506,0,0,0,0,1,0
nariakiiwatani/ofxMaxGenGlslLoader,C,0.5,0,0,0.116162,0,0,1,187,0,2,0,0,1,0
chrisschroeder92/Phoenix,Java,0.666667,1,0,0.145665,0,0,0,775,0,0,0,0,0,0
kaseybon/design-patterns,Ruby,0.5,1,0,0.018519,0,0,0,110,0.509434,0,0,0,0,0
Rodisi/Ex12Gps,Java,0.5,1,0,0.681601,0,0,0,2729,0,0,0,0,0,0
johnrees/smartcitizen-auth,Ruby,0.233333,1,0,0.416573,0,0,0,559,0,0,0,0,0,0
project79/mbMenu,PHP,0.333333,0,0,0.213755,0,0,0,857,0,0,0,0,0,0
chengkaizone/ffplayer,C,0.874448,1,0,0.138576,0,0,1,503465,0.162525,0,0,0,1,1
markush/pxchat,Java,1,0,0,0.107443,0,0,1,51215,0,6,0,0,1,0
csdms-contrib/wilsim,Java,0.888889,1,0,0.13731,0,0,1,6421,0,0,0,0,1,0
edo-aplikacija/ObserverPattern,C#,1,1,0,0.057692,0,0,0,98,0,0,0,0,0,0
FrancisSalerno/HospitalShooter,C#,0,1,0,0.1,0,0,0,65,0,0,0,0,0,0
chrisjoywebb/twitter_rails,Ruby,0.203704,2,0,0.51604,0,0,0,767,0.015625,0,0,0,1,0
jamiechristian11/MASH,Java,0.4,2,0,0.077739,0,0,0,558,0,0,0,0,1,0
daniellebryant/ConnectFive,Java,0.571429,2,0,0.091514,0,0,0,582,0,0,0,0,1,0
kevinmoses/GsonApp,Java,0.25,1,0,0.092732,0,0,0,399,0,0,0,0,0,0
Tyrtle/IndividualGame,Java,0.4,1,0,0.076923,0,0,0,552,0,0,0,0,0,0
ronenfilho/Medical,Java,0.821429,1,0,0.156054,0,0,1,2858,0.005187,0,0,0,1,1
edo-aplikacija/ISvsAS,C#,0,1,0,0,0,0,0,202,0,0,0,0,0,0
Mezzofanti/qamus,C++,1,1,0,0.030303,0,0,1,3013,0.017054,0,0,0,1,1
jerry9855/blog_new,Ruby,0.134615,1,0,0.354659,0,0,0,568,0.137652,0,0,0,1,0
Barlend/Paper_source,C++,1,1,0,0.009615,0,0,0,282,0,0,0,0,0,0
mirabon/PrototypeV2,Java,0.880597,1,0,0.285449,0,0,1,5049,0.069883,0,0,0,1,0
andrewbeaton/WakeOnLan,C#,0.75,1,0,0.257143,0,0,0,356,0,0,0,0,0,0
ronenfilho/sunshine_by_ronen,Java,0.571429,2,0,0.179262,0,0,1,970,0,0,0,0,1,0
